     ID  RA         DEC    z    f24[mJy]f8[uJy] R[Vega] epoch galid
   16135 260.5417  59.6682 0.620 1.210  174.36 22.51 go2 111
   16144 0  0 0 0  0 0 0    0
   16152 260.2324  59.5950 1.830 1.120  264.47 23.01 go2 112
   16156 260.7366  59.5162 0.720 1.160  135.64 21.47 go2 113
   16170 260.6389  60.2540 0.320 1.090  225.14 20.52 go2 114
   16202 0  0 0 0  0 0 0    0
   16206 260.2935  60.1023 0.870 0.980  112.34 25.50 go2 116
   16219 260.0549  60.1746 2.720 1.030  315.06 22.88 go2 117
   16227 259.8341  60.2469 2.150 1.060  233.02 23.92 go2 118
   16249 260.5349  59.7651 0.530 0.990  132.44 20.47 go2 119
   16267 259.7930  60.2211 1.310 1.040  283.64 24.36 go2 120
   22196 260.6881  59.0578 0.798 4.730 1041.11 21.00 go2 121
   22204 259.6850  59.3335 2.080 4.260  478.00 22.48 go1  23
   22235 260.0718  59.2770 0.419 5.18   299.61 22.88 go2 122
   22248 260.0150  59.3188 1.198 2.980  609.73 21.98 go2 123
   22277 259.6113  58.7118 1.770 2.450  254.00 23.00 go1  24
   22303 259.7035  58.8542 2.340 2.040  103.00 25.50 go1  25
   22307 259.9642  58.7063 0.700 2.020  403.59 20.50 go2 124
   22314 259.8637  59.2602 *2.050 1.980  299.24 25.50 extra   2
   22323 260.6422  59.1671 1.210 1.930  403.67 21.60 go2 125
   22352 260.4486  58.8989 0.656 1.720  294.36 20.52 go2 126
   22356 260.0607  59.2454 1.120 1.690  333.97 23.37 go2 127
   22371 260.7520  59.1855 1.670 1.640  340.69 23.00 go2 128
   22379 259.8275  59.0118 0.650 1.580  358.03 20.87 go2 129
   22397 260.0249  59.2958 1.830 1.570  489.65 23.12 go2 130
   22404 0  0 0 0  0 0 0    0
   22417 260.7565  59.2505 1.960 1.520  296.79 22.36 go2 131
   22432 260.4034  59.2688 1.590 1.440  500.21 22.60 go2 132
   22467 259.6895  58.6538 0.800 1.320  142.00 22.26 go1  46
   22482 260.2517  58.9920 1.840 1.370   93.00 23.72 go1  36
   22516 260.3903  59.1245 1.350 1.320   97.23 22.26 go2 133
   22530 260.7639  59.2667 1.960 1.230   81.00 23.08 go1  11
   22527 0  0 0 0  0 0 0    0
   22530 0  0 0 0  0 0 0    0
   22536 260.2845  59.0211 1.590 1.280  115.13 22.10 go2 135
   22548 260.8770  58.7625 2.150 1.280  228.70 25.50 go2 136
   22549 260.5577  59.2945 1.050 1.170  427.77 23.64 go2 137
   22554 260.2491  59.1905 0.820 1.130   62.00 22.57 go1   2
   22555 260.3791  58.7136 1.880 1.190  194.08 23.71 go2 138
   22557 260.1062  59.2330 0.785 1.120   87.45 20.88 go2 139
   22558 260.1882  58.8725 3.200 1.140   60.00 23.67 go1  26
   22582 0  0 0 0  0 0 0    0
   22600 260.5764  58.6956 0.860 1.070   88.00 23.04 go1   3
   22621 260.7673  58.9514 0.590 0.990  136.88 25.50 go2 140
   22633 260.7393  59.2687 2.200 1.000  116.04 23.12 go2 141
   22634 0  0 0 0  0 0 0    0
   22635 260.2290  59.1778 0.797 1.040   50.70 22.64 go2 143
   22638 260.4780  58.9101 0.983 1.040  104.88 23.04 go2 144
